[-1.62, -121.0, -26.62, 0.0, -1.62, -121.0, -26.62, 0.0, -1.62, -121.0, -26.62, 0.0, -1.62, -121.0, -26.62, 0.0]
[-0.0, -121.93, -26.7, -0.16, -0.0, -122.1, -26.66, 0.46, -0.0, -122.44, -26.57, 0.17, -0.02, -122.27, -26.61, -0.46]
[-0.02, -121.66, -26.76, -0.32, -0.03, -121.99, -26.68, 0.92, -0.01, -122.68, -26.5, 0.33, -0.02, -122.35, -26.59, -0.93]
[-0.0, -121.42, -26.81, -0.48, -0.02, -121.9, -26.7, 1.37, -0.02, -122.92, -26.42, 0.5, -0.0, -122.45, -26.57, -1.39]
[-0.02, -121.15, -26.86, -0.64, -0.02, -121.8, -26.73, 1.82, -0.03, -123.16, -26.35, 0.68, -0.03, -122.52, -26.54, -1.86]
[-0.03, -120.87, -26.91, -0.79, -0.0, -121.72, -26.75, 2.27, -0.03, -123.39, -26.26, 0.85, -0.02, -122.6, -26.52, -2.34]
[-0.0, -120.63, -26.95, -0.94, -0.02, -121.6, -26.77, 2.71, -0.03, -123.63, -26.18, 1.03, -0.03, -122.67, -26.5, -2.81]
[-0.01, -120.35, -26.99, -1.09, -0.01, -121.5, -26.79, 3.16, -0.02, -123.86, -26.09, 1.22, -0.0, -122.76, -26.48, -3.29]
[-0.01, -120.07, -27.03, -1.23, -0.01, -121.39, -26.82, 3.6, -0.02, -124.1, -25.99, 1.4, -0.03, -122.82, -26.45, -3.77]
[-0.01, -119.8, -27.06, -1.38, -0.02, -121.28, -26.84, 4.03, -0.01, -124.33, -25.9, 1.59, -0.02, -122.89, -26.43, -4.25]
[-0.01, -119.52, -27.09, -1.52, -0.0, -121.18, -26.86, 4.47, -0.0, -124.56, -25.8, 1.78, -0.03, -122.95, -26.41, -4.73]
[-0.0, -119.24, -27.12, -1.66, -0.02, -121.05, -26.88, 4.9, -0.03, -124.76, -25.69, 1.98, -0.01, -123.03, -26.39, -5.22]
[-0.0, -118.96, -27.14, -1.79, -0.02, -120.94, -26.9, 5.33, -0.01, -124.99, -25.58, 2.18, -0.0, -123.1, -26.37, -5.71]
[-0.03, -118.65, -27.16, -1.93, -0.02, -120.82, -26.92, 5.75, -0.32, -124.97, -25.47, 2.38, -0.0, -123.17, -26.35, -6.2]
[-0.02, -118.37, -27.18, -2.06, -0.03, -120.69, -26.94, 6.18, -0.59, -124.98, -25.35, 2.59, -0.01, -123.22, -26.33, -6.69]
[-0.0, -118.08, -27.19, -2.19, -0.01, -120.58, -26.96, 6.6, -0.86, -125.0, -25.23, 2.8, -0.0, -123.29, -26.31, -7.18]
[-0.02, -117.77, -27.2, -2.32, -0.03, -120.44, -26.98, 7.01, -1.16, -124.98, -25.1, 3.01, -0.0, -123.34, -26.29, -7.68]
[-0.0, -117.49, -27.2, -2.45, -0.02, -120.31, -27.0, 7.43, -1.42, -124.98, -24.97, 3.23, -0.01, -123.39, -26.28, -8.18]
[-0.06, -117.15, -27.2, -2.58, -0.02, -120.18, -27.02, 7.84, -1.68, -124.99, -24.83, 3.45, -0.02, -123.43, -26.26, -8.68]
[-1.17, -116.03, -27.2, -2.7, -0.03, -120.04, -27.04, 8.24, -1.93, -124.99, -24.69, 3.67, -0.01, -123.49, -26.24, -9.18]
[-2.26, -114.91, -27.18, -2.82, -0.01, -119.92, -27.05, 8.65, -2.18, -125.0, -24.55, 3.9, -0.01, -123.53, -26.23, -9.68]
[-3.35, -113.79, -27.15, -2.94, -0.03, -119.77, -27.07, 9.05, -2.43, -125.0, -24.4, 4.14, -0.02, -123.57, -26.21, -10.19]
[-4.44, -112.67, -27.1, -3.06, -0.02, -119.63, -27.08, 9.45, -2.68, -125.0, -24.24, 4.38, -0.0, -123.62, -26.2, -10.69]
[-5.51, -111.54, -27.05, -3.18, -0.01, -119.49, -27.1, 9.84, -2.93, -124.99, -24.09, 4.62, -0.03, -123.63, -26.18, -11.2]
[-6.58, -110.41, -26.99, -3.3, -0.01, -119.34, -27.11, 10.23, -3.17, -124.99, -23.92, 4.87, -0.0, -123.69, -26.17, -11.71]
[-7.64, -109.28, -26.91, -3.41, -0.02, -119.19, -27.12, 10.62, -3.41, -124.98, -23.76, 5.12, -0.02, -123.71, -26.16, -12.22]
[-8.69, -108.13, -26.82, -3.52, -0.0, -119.05, -27.14, 11.01, -3.64, -124.98, -23.59, 5.38, -0.01, -123.75, -26.14, -12.73]
[-9.74, -106.99, -26.73, -3.63, -0.02, -118.88, -27.15, 11.39, -3.84, -124.99, -23.41, 5.64, -0.01, -123.78, -26.13, -13.24]
